Date,DiverName,SiteCode,TimeStart,Time End,Depth,SurveyArea,SpeciesCode,UK,DS,BB,RB,YB,TLD,WP,WS,P,PB,BL,TotalDiseased,TotalHealthy,Notes
11/9/17,Joshua Voss,SEFL01,14:40,15:12,15,700,MCAV,0,0,0,0,0,2,0,0,0,0,0,4,2,Dead 2
11/9/17,Joshua Voss,SEFL01,14:40,15:12,15,700,PCLI,0,0,0,0,0,9,0,0,0,0,0,9,5,Dead 26
11/9/17,Joshua Voss,SEFL01,14:40,15:12,15,700,ISIN,0,0,0,0,0,0,0,0,0,0,0,0,1,
11/9/17,Joshua Voss,SEFL01,14:40,15:12,15,700,PAST,0,0,0,0,0,0,0,0,0,0,14,14,13,
11/9/17,Joshua Voss,SEFL02,13:29,14:05,20,600,PCLI,0,0,0,0,0,2,0,0,0,0,0,2,4,Dead 2
11/9/17,Joshua Voss,SEFL02,13:29,14:05,20,600,SBOU,0,0,0,0,0,0,0,0,0,0,2,2,0,Dead 1
11/9/17,Joshua Voss,SEFL02,13:29,14:05,20,600,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,1,WB colony = Voss Mcav5; colony with lesion = Voss Mcav4
11/9/17,Joshua Voss,SEFL03,12:35,13:07,20,400,SINT,0,0,0,0,0,0,0,0,0,0,1,1,3,"Multiple bleached SRAD 13, all <10cm; 1 bleached SSID <10 cm"
11/9/17,Joshua Voss,SEFL03,12:35,13:07,20,400,PCLI,0,0,0,0,0,1,0,0,0,0,3,4,1,
11/9/17,Joshua Voss,SEFL03,12:35,13:07,20,400,SBOU,0,0,0,0,0,0,0,0,0,0,1,1,0,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,20,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,PAST,0,0,0,0,0,0,0,0,0,0,0,0,11,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,8,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,SINT,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,CNAT,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,PSTRI,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,ALAM,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL04,11:10,11:30,65,450,OFAV,0,0,0,0,0,0,0,0,1,0,0,1,1,Paling on 25% of colony
12/8/17,Ryan Eckert,SEFL05,12:08,12:29,70,480,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,22,"MCAV w/ affected margins/ dead polyps, no sloughing tissue, no other apparent disease, only old mortality on several mcav."
12/8/17,Ryan Eckert,SEFL05,12:08,12:29,70,480,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,2,
12/8/17,Ryan Eckert,SEFL06,13:12,13:32,71,600,MCAV,0,0,0,0,0,1,0,0,0,0,0,1,87,"MCAV diseased, dead margin, no sloughing tissue"
12/8/17,Ryan Eckert,SEFL06,13:12,13:32,71,600,SBOU,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL06,13:12,13:32,71,600,PAST,0,0,0,0,0,0,0,0,0,0,0,0,29,
12/8/17,Ryan Eckert,SEFL06,13:12,13:32,71,600,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL06,13:12,13:32,71,600,SSID,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/8/17,Ryan Eckert,SEFL06,13:12,13:32,71,600,UAGA,0,0,0,0,0,0,0,0,0,0,0,0,9,
12/8/17,Ryan Eckert,SEFL06,13:12,13:32,71,600,PSTR,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,SEFL08,10:01,10:21,55,700,MCAV,0,0,0,0,0,0,0,0,0,0,0,0,19,
12/7/17,Joshua Voss,SEFL08,10:01,10:21,55,700,MDEC,0,0,0,0,0,0,0,0,0,0,0,0,7,
12/7/17,Joshua Voss,SEFL08,10:01,10:21,55,700,SSID,0,0,0,0,0,0,0,0,0,0,0,0,4,
12/7/17,Joshua Voss,SEFL08,10:01,10:21,55,700,PAST,0,0,0,0,0,0,0,0,0,0,0,0,6,
12/7/17,Joshua Voss,SEFL08,10:01,10:21,55,700,SINT,0,0,0,0,0,0,0,0,0,0,0,0,1,
12/7/17,Joshua Voss,SEFL08,10:01,10:21,55,700,MLAM,0,0,0,0,0,0,0,0,0,0,0,0,1,
