site,location,county,Nov.17,Dec.17,Jan.17,Apr.17,May.18,Jun.18,Aug.18,Nov.18,Dec.18,Feb.19,Mar.19,Apr.19,May.19,Jun.19
BC1,LBTS,Broward,,,,,,,,0.110169492,0.073015873,,0.038961039,,,
FTL4,LBTS,Broward,,,,,,,,0.033333333,0.101123596,,0.215686275,,0.05511811,
SEFL04,JUP,Palm Beach,,0,,,0,,0,,0,,0.060606061,,0,
SEFL05,JUP,Palm Beach,,0,,,,0,0,,0,,0.076923077,,0,
SEFL06,JUP,Palm Beach,,0.007692308,,,,0,0.021276596,,0.030042918,,0.107142857,,0.005464481,
SEFL08,WPB,Palm Beach,,0,,0,,,0,,,0,,,0,0
SEFL11,WPB,Palm Beach,,0.022727273,,,,,0.034482759,,,0,0.036363636,,0,0.012987013
SEFL12,WPB,Palm Beach,,0,,,,,,,,0,0,,0,0.018518519
SLR Central,SLR,Martin,0.229166667,,,,,,,,,,0,,,0.016129032
SLR Ledge,SLR,Martin,,,,,,,,,,,0,0.142857143,,0
SLR North,SLR,Martin,,,,,,,,,,,,0.428571429,,0.4
SLR South ,SLR,Martin,0.3,,,,,,,,,,0,0,,0
T328,LBTS,Broward,,,,,,,,0.223684211,0.089430894,,0.215686275,,0.114583333,
